Country;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Winning Margin
USA;NFL 2008/2009;21/09/2008;Regular Season;Chicago Bears;24;27;Tampa Bay Buccaneers;OT;-175;145;Draw;51;1 to 5
USA;NFL 2008/2009;21/09/2008;Regular Season;Minnesota Vikings;20;10;Carolina Panthers;;-189;154;Home;30;6 to 10
USA;NFL 2008/2009;21/09/2008;Regular Season;New England Patriots;13;38;Miami Dolphins;;-909;600;Away;51;21 to 25
USA;NFL 2008/2009;21/09/2008;Regular Season;New York Giants;26;23;Cincinnati Bengals;OT;-909;600;Draw;49;1 to 5
USA;NFL 2008/2009;21/09/2008;Regular Season;Tennessee Titans;31;12;Houston Texans;;-222;179;Home;43;16 to 20
USA;NFL 2008/2009;21/09/2008;Regular Season;Washington Commanders;24;17;Arizona Cardinals;;-189;154;Home;41;6 to 10
USA;NFL 2008/2009;22/09/2008;Regular Season;Green Bay Packers;16;27;Dallas Cowboys;;135;-164;Away;43;11 to 15
USA;NFL 2008/2009;23/09/2008;Regular Season;Los Angeles Chargers;48;29;New York Jets;;-455;340;Home;77;16 to 20
USA;NFL 2008/2009;05/10/2008;Regular Season;Baltimore Ravens;10;13;Tennessee Titans;;110;-130;Away;23;1 to 5
USA;NFL 2008/2009;05/10/2008;Regular Season;Carolina Panthers;34;0;Kansas City Chiefs;;-500;370;Home;34;At Least 26
USA;NFL 2008/2009;05/10/2008;Regular Season;Detroit Lions;7;34;Chicago Bears;;165;-200;Away;41;At Least 26
USA;NFL 2008/2009;05/10/2008;Regular Season;Green Bay Packers;24;27;Atlanta Falcons;;-196;160;Away;51;1 to 5
USA;NFL 2008/2009;05/10/2008;Regular Season;Houston Texans;27;31;Indianapolis Colts;;165;-200;Away;58;1 to 5
USA;NFL 2008/2009;05/10/2008;Regular Season;Miami Dolphins;17;10;Los Angeles Chargers;;225;-286;Home;27;6 to 10
USA;NFL 2008/2009;05/10/2008;Regular Season;New York Giants;44;6;Seattle Seahawks;;-323;254;Home;50;At Least 26
USA;NFL 2008/2009;05/10/2008;Regular Season;Philadelphia Eagles;17;23;Washington Commanders;;-303;240;Away;40;6 to 10
USA;NFL 2008/2009;05/10/2008;Regular Season;Arizona Cardinals;41;17;Buffalo Bills;;-137;114;Home;58;21 to 25
USA;NFL 2008/2009;05/10/2008;Regular Season;Dallas Cowboys;31;22;Cincinnati Bengals;;-1250;750;Home;53;6 to 10
USA;NFL 2008/2009;05/10/2008;Regular Season;San Francisco 49Ers;21;30;New England Patriots;;150;-182;Away;51;6 to 10
USA;NFL 2008/2009;05/10/2008;Regular Season;Denver Broncos;16;13;Tampa Bay Buccaneers;;-208;170;Home;29;1 to 5
USA;NFL 2008/2009;06/10/2008;Regular Season;Jacksonville Jaguars;21;26;Pittsburgh Steelers;;-250;204;Away;47;1 to 5
USA;NFL 2008/2009;07/10/2008;Regular Season;New Orleans Saints;27;30;Minnesota Vikings;;-179;148;Away;57;1 to 5
USA;NFL 2008/2009;12/10/2008;Regular Season;Arizona Cardinals;30;24;Dallas Cowboys;OT;177;-217;Draw;54;6 to 10
USA;NFL 2008/2009;12/10/2008;Regular Season;San Francisco 49Ers;26;40;Philadelphia Eagles;;190;-238;Away;66;11 to 15
USA;NFL 2008/2009;12/10/2008;Regular Season;Seattle Seahawks;17;27;Green Bay Packers;;-137;112;Away;44;6 to 10
USA;NFL 2008/2009;12/10/2008;Regular Season;Denver Broncos;17;24;Jacksonville Jaguars;;-189;156;Away;41;6 to 10
USA;NFL 2008/2009;12/10/2008;Regular Season;Atlanta Falcons;22;20;Chicago Bears;;127;-152;Home;42;1 to 5
USA;NFL 2008/2009;12/10/2008;Regular Season;Houston Texans;29;28;Miami Dolphins;;-159;131;Home;57;1 to 5
USA;NFL 2008/2009;12/10/2008;Regular Season;Indianapolis Colts;31;3;Baltimore Ravens;;-217;175;Home;34;At Least 26
USA;NFL 2008/2009;12/10/2008;Regular Season;Minnesota Vikings;12;10;Detroit Lions;;-714;450;Home;22;1 to 5
USA;NFL 2008/2009;12/10/2008;Regular Season;New Orleans Saints;34;3;Las Vegas Raiders;;-323;254;Home;37;At Least 26
USA;NFL 2008/2009;12/10/2008;Regular Season;New York Jets;26;14;Cincinnati Bengals;;-263;213;Home;40;11 to 15
USA;NFL 2008/2009;12/10/2008;Regular Season;Tampa Bay Buccaneers;27;3;Carolina Panthers;;-122;102;Home;30;21 to 25
USA;NFL 2008/2009;12/10/2008;Regular Season;Washington Commanders;17;19;Los Angeles Rams;;-769;525;Away;36;1 to 5
