,AvgL,AvgW,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,L1,L2,L3,LBL,LBW,LPts,LRank,Location,Loser,Lsets,MaxL,MaxW,PSL,PSW,Round,SJL,SJW,Surface,Tier,Tournament,UBL,UBW,W1,W2,W3,WPts,WRank,WTA,Winner,Wsets
22,,,1.28,3.25,3,1.35,3.05,Completed,Outdoor,2007-01-03,1.28,3.46,1.0,5.0,,,,986.0,17.0,Auckland,Hantuchova D.,0.0,,,1.307,3.96,2nd Round,,,Hard,Tier 4,ASB Classic,1.28,3.5,6.0,7.0,,319.0,88.0,1,Razzano V.,2.0
23,,,3.25,1.28,3,3.7,1.25,Completed,Outdoor,2007-01-03,3.75,1.25,4.0,1.0,,,,372.5,68.0,Auckland,Granville L.,0.0,,,4.87,1.234,2nd Round,,,Hard,Tier 4,ASB Classic,3.5,1.28,6.0,6.0,,781.0,24.0,1,Zvonareva V.,2.0
24,,,1.61,2.2,3,1.63,2.2,Completed,Outdoor,2007-01-03,1.65,2.15,3.0,3.0,,,,418.5,56.0,Auckland,Loit E.,0.0,,,1.763,2.21,Quarterfinals,,,Hard,Tier 4,ASB Classic,1.73,2.05,6.0,6.0,,349.0,75.0,1,Pin C.,2.0
25,,,1.72,2.0,3,1.8,1.95,Completed,Outdoor,2007-01-04,1.8,1.95,3.0,6.0,,,,155.75,178.0,Auckland,Suarez P.,0.0,,,1.769,2.2,Quarterfinals,,,Hard,Tier 4,ASB Classic,1.78,1.98,6.0,7.0,,365.5,70.0,1,Craybas J.,2.0
26,,,4,1.19,3,4.65,1.17,Completed,Outdoor,2007-01-04,4.25,1.2,3.0,4.0,,,,538.75,36.0,Auckland,Daniilidou E.,0.0,,,4.75,1.241,Quarterfinals,,,Hard,Tier 4,ASB Classic,4.0,1.23,6.0,6.0,,1211.0,12.0,1,Jankovic J.,2.0
27,,,3.25,1.28,3,3.15,1.33,Retired,Outdoor,2007-01-04,3.3,1.3,5.0,0.0,,,,319.0,88.0,Auckland,Razzano V.,0.0,,,3.34,1.394,Quarterfinals,,,Hard,Tier 4,ASB Classic,3.45,1.29,7.0,2.0,,781.0,24.0,1,Zvonareva V.,1.0
28,,,6,1.11,3,6.3,1.1,Retired,Outdoor,2007-01-05,6.25,1.1,0.0,,,,,349.0,75.0,Auckland,Pin C.,0.0,,,9.25,1.098,Semifinals,,,Hard,Tier 4,ASB Classic,7.4,1.08,3.0,,,1211.0,12.0,1,Jankovic J.,0.0
29,,,3.75,1.25,3,3.5,1.28,Completed,Outdoor,2007-01-05,3.46,1.28,3.0,5.0,,,,365.5,70.0,Auckland,Craybas J.,0.0,,,4.04,1.299,Semifinals,,,Hard,Tier 4,ASB Classic,3.6,1.27,6.0,7.0,,781.0,24.0,1,Zvonareva V.,2.0
30,,,2.37,1.53,3,2.35,1.55,Completed,Outdoor,2007-01-06,2.4,1.53,6.0,7.0,3.0,,,781.0,24.0,Auckland,Zvonareva V.,1.0,,,2.5,1.625,The Final,,,Hard,Tier 4,ASB Classic,2.33,1.57,7.0,5.0,6.0,1211.0,12.0,1,Jankovic J.,2.0
31,,,5,1.14,3,,,Completed,Outdoor,2006-12-31,5.0,1.15,3.0,4.0,,,,20.75,599.0,Gold Coast,Golds S.,0.0,,,7.3,1.143,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,5.8,1.12,6.0,6.0,,420.75,54.0,2,Castano C.,2.0
32,,,2.1,1.66,3,2.3,1.58,Completed,Outdoor,2006-12-31,,,4.0,2.0,,,,148.25,183.0,Gold Coast,Ivanova E.,0.0,,,2.35,1.69,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.27,1.6,6.0,6.0,,280.25,103.0,2,Sequera M.,2.0
33,,,2,1.72,3,1.9,1.85,Completed,Outdoor,2006-12-31,2.12,1.67,6.0,4.0,2.0,,,402.25,58.0,Gold Coast,Benesova I.,1.0,,,2.24,1.746,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.1,1.7,0.0,6.0,6.0,521.0,40.0,2,Bremond S.,2.0
34,,,6.5,1.08,3,6.6,1.09,Completed,Outdoor,2006-12-31,7.35,1.07,0.0,2.0,,,,430.25,49.0,Gold Coast,Bammer S.,0.0,,,9.49,1.095,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,7.0,1.08,6.0,6.0,,2018.0,7.0,2,Hingis M.,2.0
35,,,2.25,1.57,3,2.3,1.58,Completed,Outdoor,2006-12-31,2.2,1.63,3.0,2.0,,,,426.5,50.0,Gold Coast,Camerin M.E.,0.0,,,2.3,1.714,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.33,1.57,6.0,6.0,,445.25,47.0,2,Vesnina E.,2.0
36,,,1.14,5.0,3,1.12,5.65,Completed,Outdoor,2006-12-31,1.17,4.65,6.0,4.0,,,,716.0,26.0,Gold Coast,Sugiyama A.,0.0,,,1.215,5.25,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,,,7.0,6.0,,146.5,184.0,2,Ferguson S.,2.0
37,,,3.5,1.25,3,3.15,1.33,Completed,Outdoor,2007-01-01,3.4,1.29,1.0,7.0,0.0,,,531.0,37.0,Gold Coast,Shaughnessy M.,1.0,,,4.0,1.303,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,3.5,1.28,6.0,5.0,6.0,894.0,20.0,2,Peer S.,2.0
38,,,4.5,1.16,3,5.4,1.13,Completed,Outdoor,2007-01-01,,,0.0,4.0,,,,176.0,156.0,Gold Coast,Zahlavova S.,0.0,,,,,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,,,6.0,6.0,,875.75,21.0,2,Li N.,2.0
39,,,2.37,1.53,3,2.25,1.6,Completed,Outdoor,2007-01-01,2.3,1.57,4.0,3.0,,,,398.75,60.0,Gold Coast,King V.,0.0,,,2.51,1.621,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,,,6.0,6.0,,819.0,23.0,2,Srebotnik K.,2.0
40,,,2.5,1.5,3,2.65,1.45,Completed,Outdoor,2007-01-01,2.5,1.5,7.0,6.0,3.0,,,334.0,80.0,Gold Coast,Fedak Y.,1.0,,,3.04,1.446,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.5,1.5,6.0,7.0,6.0,525.25,39.0,2,Poutchkova O.,2.0
41,,,1.72,2.0,3,1.9,1.85,Completed,Outdoor,2007-01-01,1.75,2.0,6.0,7.0,3.0,,,922.0,19.0,Gold Coast,Groenefeld A.L.,1.0,,,1.935,1.971,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.66,2.16,7.0,6.0,6.0,529.75,38.0,2,Garbin T.,2.0
42,,,4,1.19,3,4.0,1.22,Completed,Outdoor,2007-01-01,4.25,1.2,5.0,1.0,,,,324.0,85.0,Gold Coast,Vinci R.,0.0,,,4.76,1.24,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,4.3,1.2,7.0,6.0,,1053.0,14.0,2,Ivanovic A.,2.0
43,,,2.25,1.57,3,2.05,1.72,Completed,Outdoor,2007-01-01,,,2.0,7.0,1.0,,,2.0,1431.0,Gold Coast,Bovina E.,1.0,,,2.36,1.685,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.88,1.88,6.0,6.0,6.0,344.75,77.0,2,Pratt N.,2.0
44,,,1.53,2.37,3,1.55,2.35,Completed,Outdoor,2007-01-01,1.63,2.2,1.0,2.0,,,,692.0,28.0,Gold Coast,Pennetta F.,0.0,,,1.606,2.55,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.77,2.0,6.0,6.0,,637.0,30.0,2,Kirilenko M.,2.0
45,,,2.62,1.44,3,3.0,1.36,Completed,Outdoor,2007-01-01,2.65,1.45,7.0,2.0,1.0,,,419.0,55.0,Gold Coast,Peng S.,1.0,,,2.95,1.465,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.33,1.57,5.0,6.0,6.0,685.0,29.0,2,Stosur S.,2.0
46,,,3.25,1.28,3,3.35,1.3,Completed,Outdoor,2007-01-02,3.46,1.28,3.0,2.0,,,,462.0,43.0,Gold Coast,Likhovtseva E.,0.0,,,3.57,1.361,1st Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,3.1,1.35,6.0,6.0,,1390.0,11.0,2,Safina D.,2.0
47,,,1.19,4.0,3,1.22,4.0,Completed,Outdoor,2007-01-02,1.2,4.25,4.0,6.0,2.0,,,875.75,21.0,Gold Coast,Li N.,1.0,,,1.227,5.0,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.25,3.75,6.0,1.0,6.0,420.75,54.0,2,Castano C.,2.0
48,,,1.8,1.9,3,1.9,1.85,Completed,Outdoor,2007-01-02,1.83,1.91,3.0,1.0,,,,521.0,40.0,Gold Coast,Bremond S.,0.0,,,2.04,1.877,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.77,2.0,6.0,6.0,,529.75,38.0,2,Garbin T.,2.0
49,,,1.5,2.5,3,1.5,2.5,Completed,Outdoor,2007-01-02,1.45,2.65,3.0,2.0,,,,819.0,23.0,Gold Coast,Srebotnik K.,0.0,,,1.472,2.92,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.55,2.4,6.0,6.0,,445.25,47.0,2,Vesnina E.,2.0
50,,,9,1.04,3,10.5,1.03,Completed,Outdoor,2007-01-02,10.0,1.03,0.0,1.0,,,,344.75,77.0,Gold Coast,Pratt N.,0.0,,,16.0,1.05,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,10.0,1.05,6.0,6.0,,2018.0,7.0,2,Hingis M.,2.0
51,,,3.25,1.28,3,3.5,1.28,Completed,Outdoor,2007-01-03,3.46,1.28,3.0,2.0,,,,525.25,39.0,Gold Coast,Poutchkova O.,0.0,,,3.78,1.325,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,3.35,1.3,6.0,6.0,,894.0,20.0,2,Peer S.,2.0
52,,,6,1.1,3,6.3,1.1,Completed,Outdoor,2007-01-03,6.25,1.1,1.0,2.0,,,,280.25,103.0,Gold Coast,Sequera M.,0.0,,,8.3,1.123,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,5.8,1.12,6.0,6.0,,1053.0,14.0,2,Ivanovic A.,2.0
53,,,2.75,1.39,3,2.65,1.45,Completed,Outdoor,2007-01-03,3.0,1.36,2.0,5.0,,,,637.0,30.0,Gold Coast,Kirilenko M.,0.0,,,3.01,1.452,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.85,1.4,6.0,7.0,,1390.0,11.0,2,Safina D.,2.0
54,,,5.5,1.12,3,5.4,1.13,Completed,Outdoor,2007-01-03,5.65,1.12,3.0,4.0,,,,146.5,184.0,Gold Coast,Ferguson S.,0.0,,,7.77,1.134,2nd Round,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,5.1,1.15,6.0,6.0,,685.0,29.0,2,Stosur S.,2.0
55,,,1.53,2.37,3,1.53,2.4,Completed,Outdoor,2007-01-04,1.5,2.5,5.0,2.0,,,,445.25,47.0,Gold Coast,Vesnina E.,0.0,,,1.578,2.63,Quarterfinals,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.55,2.37,7.0,6.0,,529.75,38.0,2,Garbin T.,2.0
56,,,1.53,2.37,3,1.5,2.5,Completed,Outdoor,2007-01-04,1.5,2.5,7.0,4.0,4.0,,,1053.0,14.0,Gold Coast,Ivanovic A.,1.0,,,1.637,2.47,Quarterfinals,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.58,2.32,5.0,6.0,6.0,894.0,20.0,2,Peer S.,2.0
57,,,2.37,1.53,3,2.4,1.53,Completed,Outdoor,2007-01-04,2.35,1.55,6.0,3.0,,,,685.0,29.0,Gold Coast,Stosur S.,0.0,,,2.54,1.61,Quarterfinals,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.35,1.56,7.0,6.0,,1390.0,11.0,2,Safina D.,2.0
58,,,9,1.04,3,10.0,1.04,Completed,Outdoor,2007-01-04,11.0,1.03,3.0,1.0,,,,420.75,54.0,Gold Coast,Castano C.,0.0,,,19.0,1.043,Quarterfinals,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,12.0,1.03,6.0,6.0,,2018.0,7.0,2,Hingis M.,2.0
59,,,8,1.05,3,10.0,1.04,Retired,Outdoor,2007-01-05,8.5,1.05,4.0,,,,,529.75,38.0,Gold Coast,Garbin T.,0.0,,,13.4,1.065,Semifinals,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,10.0,1.05,3.0,,,2018.0,7.0,2,Hingis M.,0.0
60,,,2.25,1.57,3,2.25,1.6,Completed,Outdoor,2007-01-05,2.3,1.58,6.0,6.0,1.0,,,894.0,20.0,Gold Coast,Peer S.,1.0,,,2.26,1.735,Semifinals,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,2.28,1.6,4.0,7.0,6.0,1390.0,11.0,2,Safina D.,2.0
61,,,1.36,3.0,3,1.5,2.5,Completed,Outdoor,2007-01-06,1.35,3.0,3.0,6.0,5.0,,,2018.0,7.0,Gold Coast,Hingis M.,1.0,,,1.403,3.28,The Final,,,Hard,Tier 3,Mondial Australian Women's Hardcourts,1.34,3.15,6.0,3.0,7.0,1390.0,11.0,2,Safina D.,2.0
62,,,,,3,5.4,1.13,Completed,Outdoor,2007-01-07,5.65,1.12,0.0,4.0,,,,421.75,51.0,Hobart,Dominguez Lino L.,0.0,,,6.4,1.167,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,6.0,6.0,,1144.0,13.0,3,Chakvetadze A.,2.0
63,,,,,3,1.38,2.9,Completed,Outdoor,2007-01-08,,,6.0,1.0,,,,451.0,44.0,Hobart,Likhovtseva E.,0.0,,,1.485,2.86,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,7.0,6.0,,421.0,52.0,3,Oprandi R.,2.0
64,,,1.72,2.0,3,1.63,2.2,Completed,Outdoor,2007-01-08,,,3.0,4.0,,,,331.0,83.0,Hobart,Vinci R.,0.0,,,1.625,2.5,1st Round,,,Hard,Tier 4,Moorilla Hobart International,1.7,2.1,6.0,6.0,,449.0,46.0,3,Castano C.,2.0
65,,,1.44,2.62,3,1.45,2.65,Completed,Outdoor,2007-01-08,1.4,2.8,6.0,1.0,0.0,,,542.0,37.0,Hobart,Krajicek M.,1.0,,,1.469,2.93,1st Round,,,Hard,Tier 4,Moorilla Hobart International,1.45,2.65,3.0,6.0,6.0,537.0,38.0,3,Bremond S.,2.0
66,,,2.25,1.57,3,2.4,1.53,Completed,Outdoor,2007-01-08,,,5.0,6.0,3.0,,,426.5,50.0,Hobart,Camerin M.E.,1.0,,,2.65,1.571,1st Round,,,Hard,Tier 4,Moorilla Hobart International,2.18,1.65,7.0,2.0,6.0,611.5,30.0,3,Santangelo M.,2.0
67,,,1.83,1.83,3,1.87,1.87,Completed,Outdoor,2007-01-08,1.87,1.87,4.0,4.0,,,,633.0,29.0,Hobart,Kirilenko M.,0.0,,,2.03,1.885,1st Round,,,Hard,Tier 4,Moorilla Hobart International,1.86,1.9,6.0,6.0,,382.0,66.0,3,Mirza S.,2.0
68,,,2.37,1.53,3,2.45,1.55,Completed,Outdoor,2007-01-08,2.4,1.53,6.0,2.0,,,,545.0,36.0,Hobart,Muller M.,0.0,,,2.52,1.617,1st Round,,,Hard,Tier 4,Moorilla Hobart International,2.5,1.5,7.0,6.0,,356.0,74.0,3,Safarova L.,2.0
69,,,1.72,2.0,3,1.69,2.1,Completed,Outdoor,2007-01-08,,,6.0,1.0,,,,320.0,87.0,Hobart,Harkleroad A.,0.0,,,2.1,1.833,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,7.0,6.0,,415.25,56.0,3,Bammer S.,2.0
70,,,2,1.72,3,1.95,1.8,Completed,Outdoor,2007-01-08,2.0,1.75,1.0,3.0,,,,469.75,42.0,Hobart,Vesnina E.,0.0,,,1.862,2.06,1st Round,,,Hard,Tier 4,Moorilla Hobart International,1.94,1.82,6.0,6.0,,684.0,28.0,3,Medina Garrigues A.,2.0
71,,,3,1.33,3,3.5,1.28,Completed,Outdoor,2007-01-08,3.46,1.28,6.0,1.0,2.0,,,420.25,53.0,Hobart,Kostanic J.,1.0,,,3.7,1.333,1st Round,,,Hard,Tier 4,Moorilla Hobart International,3.1,1.35,4.0,6.0,6.0,169.75,165.0,3,Molik A.,2.0
72,,,7,1.07,3,6.3,1.1,Completed,Outdoor,2007-01-08,6.99,1.08,2.0,6.0,,,,6.75,992.0,Hobart,Moore J.,0.0,,,11.0,1.08,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,6.0,7.0,,585.75,32.0,3,Bondarenko A.,2.0
73,,,,,3,,,Completed,Outdoor,2007-01-08,,,2.0,2.0,,,,266.25,111.0,Hobart,Foretz S.,0.0,,,2.88,1.481,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,6.0,6.0,,560.75,34.0,3,Zheng J.,2.0
74,,,,,3,,,Completed,Outdoor,2007-01-08,,,1.0,3.0,,,,415.75,55.0,Hobart,Dulko G.,0.0,,,,,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,6.0,6.0,,365.5,70.0,3,Bardina V.,2.0
75,,,,,3,,,Completed,Outdoor,2007-01-08,,,5.0,5.0,,,,608.0,31.0,Hobart,Pennetta F.,0.0,,,,,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,7.0,7.0,,390.0,64.0,3,Nakamura A.,2.0
76,,,5,1.12,3,6.0,1.11,Completed,Outdoor,2007-01-08,5.65,1.12,4.0,0.0,,,,395.75,60.0,Hobart,Arvidsson S.,0.0,,,7.95,1.131,1st Round,,,Hard,Tier 4,Moorilla Hobart International,5.75,1.12,6.0,6.0,,301.0,94.0,3,Williams S.,2.0
77,,,2.25,1.57,3,2.15,1.65,Completed,Outdoor,2007-01-09,,,6.0,2.0,6.0,,,237.0,123.0,Hobart,Obziler T.,1.0,,,2.48,1.633,1st Round,,,Hard,Tier 4,Moorilla Hobart International,,,0.0,6.0,7.0,533.75,39.0,3,Poutchkova O.,2.0
78,,,2.62,1.44,3,2.7,1.43,Completed,Outdoor,2007-01-09,2.65,1.45,1.0,3.0,,,,537.0,38.0,Hobart,Bremond S.,0.0,,,2.81,1.51,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,2.65,1.45,6.0,6.0,,560.75,34.0,3,Zheng J.,2.0
79,,,1.66,2.1,3,1.69,2.1,Completed,Outdoor,2007-01-09,1.67,2.12,3.0,2.0,,,,611.5,30.0,Hobart,Santangelo M.,0.0,,,1.676,2.38,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,1.67,2.15,6.0,6.0,,449.0,46.0,3,Castano C.,2.0
80,,,1.39,2.75,3,1.28,3.5,Completed,Outdoor,2007-01-09,1.4,2.8,4.0,3.0,,,,684.0,28.0,Hobart,Medina Garrigues A.,0.0,,,1.38,3.43,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,1.37,3.0,6.0,6.0,,415.25,56.0,3,Bammer S.,2.0
81,,,4,1.19,3,4.25,1.2,Completed,Outdoor,2007-01-09,4.2,1.2,3.0,6.0,6.0,,,356.0,74.0,Hobart,Safarova L.,1.0,,,5.36,1.21,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,4.3,1.2,6.0,3.0,7.0,301.0,94.0,3,Williams S.,2.0
82,,,1.83,1.83,3,1.85,1.9,Completed,Outdoor,2007-01-09,1.91,1.83,4.0,4.0,,,,390.0,64.0,Hobart,Nakamura A.,0.0,,,1.99,1.917,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,1.88,1.88,6.0,6.0,,365.5,70.0,3,Bardina V.,2.0
83,,,,,3,,,Completed,Outdoor,2007-01-09,,,6.0,5.0,,,,533.75,39.0,Hobart,Poutchkova O.,0.0,,,,,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,,,7.0,7.0,,1144.0,13.0,3,Chakvetadze A.,2.0
84,,,3,1.36,3,3.35,1.3,Completed,Outdoor,2007-01-09,3.0,1.36,7.0,3.0,0.0,,,421.0,52.0,Hobart,Oprandi R.,1.0,,,3.56,1.362,2nd Round,,,Hard,Tier 4,Moorilla Hobart International,3.0,1.37,6.0,6.0,6.0,382.0,66.0,3,Mirza S.,2.0
