"date","club","country","elo"
"2000-07-01","Onesti","ROM","1160.16"
"2000-07-01","Osasuna","ESP","1615.91"
"2000-07-01","Otelul Galati","ROM","1356.46"
"2000-07-01","Oviedo","ESP","1723.45"
"2000-07-01","Panahaiki","GRE","1344.98"
"2000-07-01","Panathinaikos","GRE","1706.54"
"2000-07-01","Paniliakos","GRE","1329.30"
"2000-07-01","Panionios","GRE","1340.10"
"2000-07-01","PAOK","GRE","1518.22"
"2000-07-01","Paris SG","FRA","1714.89"
"2000-07-01","Parma","ITA","1793.02"
"2000-07-01","Perugia","ITA","1658.87"
"2000-07-01","Pescara","ITA","1563.65"
"2000-07-01","Petrolul Ploiesti","ROM","1330.04"
"2000-07-01","Piacenza","ITA","1598.04"
"2000-07-01","Piatra Neamt","ROM","1356.27"
"2000-07-01","Pistoiese","ITA","1526.61"
"2000-07-01","Plock","POL","1321.42"
"2000-07-01","Pogon","POL","1339.39"
"2000-07-01","Polonia Warszawa","POL","1553.97"
"2000-07-01","Port Vale","ENG","1378.04"
"2000-07-01","Porto","POR","1711.66"
"2000-07-01","Portsmouth","ENG","1439.73"
"2000-07-01","Progresul","ROM","1370.50"
"2000-07-01","Proodeftiki","GRE","1286.77"
"2000-07-01","PSV Eindhoven","NED","1742.95"
"2000-07-01","QPR","ENG","1509.88"
"2000-07-01","Radzionkow","POL","1397.35"
"2000-07-01","Rangers","SCO","1702.73"
"2000-07-01","Rapid Bucuresti","ROM","1547.77"
"2000-07-01","Rapid Wien","AUT","1557.73"
"2000-07-01","Ravenna","ITA","1531.53"
"2000-07-01","Real Madrid","ESP","1884.02"
"2000-07-01","Recreativo","ESP","1523.14"
"2000-07-01","Reggina","ITA","1654.99"
"2000-07-01","Rennes","FRA","1644.99"
"2000-07-01","Resita","ROM","1178.05"
"2000-07-01","Ried","AUT","1472.44"
"2000-07-01","Rio Ave","POR","1365.79"
"2000-07-01","Rocar Bucuresti","ROM","1251.68"
"2000-07-01","Roda","NED","1560.98"
"2000-07-01","Roma","ITA","1791.52"
"2000-07-01","Rosenborg","NOR","1699.53"
"2000-07-01","Rostov","RUS","1439.24"
"2000-07-01","Rotor Volgograd","RUS","1415.75"
"2000-07-01","Ruch","POL","1485.07"
"2000-07-01","Salamanca","ESP","1609.90"
"2000-07-01","Salernitana","ITA","1572.40"
"2000-07-01","Salgueiros","POR","1390.98"
"2000-07-01","Salzburg","AUT","1486.32"
"2000-07-01","Sampdoria","ITA","1631.84"
"2000-07-01","Samsunspor","TUR","1429.96"
"2000-07-01","Santa Clara","POR","1351.90"
"2000-07-01","Santander","ESP","1754.87"
"2000-07-01","Saturn Ramenskoje","RUS","1418.78"
"2000-07-01","Savoia","ITA","1426.38"
"2000-07-01","Schalke 04","GER","1626.21"
"2000-07-01","Sedan","FRA","1624.22"
"2000-07-01","Setubal","POR","1402.52"
"2000-07-01","Sevilla","ESP","1625.98"
"2000-07-01","Sheffield United","ENG","1462.72"
"2000-07-01","Sheffield Weds","ENG","1604.18"
"2000-07-01","Silkeborg","DEN","1473.23"
"2000-07-01","Sochaux","FRA","1575.12"
"2000-07-01","Sociedad","ESP","1777.34"
"2000-07-01","Southampton","ENG","1629.97"
"2000-07-01","Sp Braga","POR","1463.41"
"2000-07-01","Sp Gijon","ESP","1590.28"
"2000-07-01","Sp Lisbon","POR","1655.92"
"2000-07-01","Sparta Rotterdam","NED","1394.39"
"2000-07-01","Spartak Moskva","RUS","1709.65"
"2000-07-01","St Etienne","FRA","1620.74"
"2000-07-01","St Johnstone","SCO","1434.86"
"2000-07-01","St Pauli","GER","1495.55"
"2000-07-01","St Truiden","BEL","1398.03"
"2000-07-01","Stabaek","NOR","1537.38"
"2000-07-01","Standard","BEL","1475.28"
"2000-07-01","Start","NOR","1267.20"
"2000-07-01","Steaua","ROM","1471.27"
"2000-07-01","Stockport","ENG","1436.38"
"2000-07-01","Stomil","POL","1390.18"
"2000-07-01","Strasbourg","FRA","1642.51"
"2000-07-01","Sturm Graz","AUT","1650.57"
"2000-07-01","Stuttgart","GER","1650.61"
"2000-07-01","Sunderland","ENG","1712.08"
"2000-07-01","Sundsvall","SWE","1346.93"
"2000-07-01","Swindon","ENG","1368.68"
"2000-07-01","TeBe","GER","1447.79"
"2000-07-01","Tenerife","ESP","1592.64"
"2000-07-01","Ternana","ITA","1537.88"
"2000-07-01","Toledo","ESP","1518.64"
"2000-07-01","Torino","ITA","1641.32"
"2000-07-01","Torpedo Moskva","RUS","1509.18"
"2000-07-01","Tottenham","ENG","1676.75"
"2000-07-01","Toulouse","FRA","1551.65"
"2000-07-01","Trabzonspor","TUR","1476.88"
"2000-07-01","Tranmere","ENG","1457.90"
"2000-07-01","Trelleborg","SWE","1395.48"
"2000-07-01","Treviso","ITA","1555.50"
"2000-07-01","Trikala","GRE","1227.30"
"2000-07-01","Tromso","NOR","1458.98"
"2000-07-01","Troyes","FRA","1586.57"
"2000-07-01","Twente","NED","1581.77"
"2000-07-01","Udinese","ITA","1777.44"
"2000-07-01","Ulm","GER","1543.77"
"2000-07-01","Unterhaching","GER","1623.52"
"2000-07-01","Uralan Elista","RUS","1379.26"
"2000-07-01","Utrecht","NED","1462.72"
"2000-07-01","Vaestra","SWE","1364.04"
"2000-07-01","Valence","FRA","1417.62"
"2000-07-01","Valencia","ESP","1904.36"
"2000-07-01","Valerenga","NOR","1394.97"
"2000-07-01","Valladolid","ESP","1765.68"
"2000-07-01","Vallecano","ESP","1715.15"
"2000-07-01","Vanspor","TUR","1238.93"
"2000-07-01","Vejle","DEN","1370.55"
"2000-07-01","Venezia","ITA","1607.65"
"2000-07-01","Verona","ITA","1688.23"
"2000-07-01","Viborg","DEN","1453.45"
"2000-07-01","Vicenza","ITA","1641.72"
"2000-07-01","Viking","NOR","1507.32"
"2000-07-01","Villarreal","ESP","1651.91"
"2000-07-01","Vitesse","NED","1622.39"
"2000-07-01","Waalwijk","NED","1408.30"
"2000-07-01","Wacker Innsbruck","AUT","1579.87"
"2000-07-01","Walsall","ENG","1408.81"
"2000-07-01","Wasquehal","FRA","1465.08"
"2000-07-01","Watford","ENG","1503.84"
"2000-07-01","Werder Bremen","GER","1682.76"
"2000-07-01","West Brom","ENG","1437.82"
"2000-07-01","West Ham","ENG","1681.31"
"2000-07-01","Westerlo","BEL","1461.96"
"2000-07-01","Widzew","POL","1470.89"
"2000-07-01","Willem II","NED","1504.76"
"2000-07-01","Wimbledon","ENG","1556.67"
"2000-07-01","Wisla","POL","1585.43"
"2000-07-01","Wolfsburg","GER","1667.58"
"2000-07-01","Wolves","ENG","1561.44"
"2000-07-01","Wurzburger Kickers","GER","1457.43"
"2000-07-01","Xanthi","GRE","1383.50"
"2000-07-01","Zaragoza","ESP","1847.78"
"2000-07-01","Zenit","RUS","1482.87"
"2000-07-15","Aachen","GER","1453.60"
"2000-07-15","Aalborg","DEN","1482.61"
"2000-07-15","Aalst","BEL","1337.53"
"2000-07-15","Aarhus","DEN","1381.46"
"2000-07-15","Aberdeen","SCO","1360.43"
"2000-07-15","Adanaspor","TUR","1380.76"
"2000-07-15","Admira","AUT","1283.54"
"2000-07-15","AEK","GRE","1599.31"
"2000-07-15","Ahlen","GER","1428.57"
"2000-07-15","AIK","SWE","1550.94"
"2000-07-15","Ajaccio","FRA","1470.87"
"2000-07-15","Ajax","NED","1604.75"
"2000-07-15","Akademisk","DEN","1474.57"
"2000-07-15","Alanya","RUS","1439.46"
"2000-07-15","Alaves","ESP","1773.22"
"2000-07-15","Albacete","ESP","1578.79"
"2000-07-15","Alverca","POR","1396.29"
"2000-07-15","Amica Wronki","POL","1442.23"
"2000-07-15","Ancona","ITA","1466.99"
"2000-07-15","Anderlecht","BEL","1632.59"
"2000-07-15","Angers","FRA","1422.21"
"2000-07-15","Ankaraguecue","TUR","1374.19"
"2000-07-15","Antalyaspor","TUR","1370.64"
"2000-07-15","Antwerp","BEL","1310.63"
"2000-07-15","Anzhi","RUS","1390.24"
"2000-07-15","Arges Pitesti","ROM","1390.51"
"2000-07-15","Aris","GRE","1421.40"
"2000-07-15","Arsenal","ENG","1871.66"
"2000-07-15","Aston Villa","ENG","1728.15"
"2000-07-15","Astra","ROM","1298.44"
"2000-07-15","Atalanta","ITA","1631.75"
"2000-07-15","Ath Bilbao","ESP","1778.66"
"2000-07-15","Ath Madrid","ESP","1713.55"
"2000-07-15","Athinaikos","GRE","1243.66"
"2000-07-15","Austria Wien","AUT","1483.46"
"2000-07-15","Auxerre","FRA","1635.58"
"2000-07-15","Aves","POR","1328.14"
"2000-07-15","AZ Alkmaar","NED","1508.47"
"2000-07-15","Bacau","ROM","1363.13"
"2000-07-15","Badajoz","ESP","1555.70"
"2000-07-15","Barcelona","ESP","1887.37"
"2000-07-15","Bari","ITA","1659.61"
"2000-07-15","Barnsley","ENG","1562.94"
"2000-07-15","Bastia","FRA","1656.37"
"2000-07-15","Bayern Munich","GER","1867.24"
"2000-07-15","Beauvais","FRA","1422.21"
"2000-07-15","Beerschot VA","BEL","1485.53"
"2000-07-15","Beira Mar","POR","1366.01"
"2000-07-15","Belenenses","POR","1387.75"
"2000-07-15","Benfica","POR","1613.20"
"2000-07-15","Besiktas","TUR","1617.19"
"2000-07-15","Betis","ESP","1711.35"
"2000-07-15","Beveren","BEL","1351.74"
"2000-07-15","Bielefeld","GER","1600.83"
"2000-07-15","Birmingham","ENG","1560.75"
"2000-07-15","Bistrita","ROM","1333.82"
"2000-07-15","Blackburn","ENG","1527.02"
"2000-07-15","Boavista","POR","1563.62"
"2000-07-15","Bochum","GER","1587.32"
"2000-07-15","Bodoe Glimt","NOR","1416.64"
"2000-07-15","Bologna","ITA","1705.30"
"2000-07-15","Bolton","ENG","1574.41"
"2000-07-15","Bordeaux","FRA","1734.34"
"2000-07-15","Bradford","ENG","1578.67"
"2000-07-15","Brann","NOR","1520.14"
"2000-07-15","Brasov","ROM","1257.27"
"2000-07-15","Bregenz","AUT","1366.42"
"2000-07-15","Brescia","ITA","1618.26"
"2000-07-15","Brondby","DEN","1501.29"
"2000-07-15","Bryne","NOR","1298.81"
"2000-07-15","Burnley","ENG","1416.38"
"2000-07-15","Bursaspor","TUR","1375.30"
"2000-07-15","Caen","FRA","1521.60"
"2000-07-15","Cagliari","ITA","1606.65"
"2000-07-15","Campomaiorense","POR","1383.50"
"2000-07-15","Cannes","FRA","1461.50"
"2000-07-15","Celta","ESP","1810.33"
"2000-07-15","Celtic","SCO","1586.26"
"2000-07-15","Charleroi","BEL","1346.09"
"2000-07-15","Charlton","ENG","1608.72"
"2000-07-15","Chateauroux","FRA","1508.37"
"2000-07-15","Chelsea","ENG","1800.12"
"2000-07-15","Chemnitz","GER","1443.56"
"2000-07-15","Chievo","ITA","1535.41"
"2000-07-15","Cittadella","ITA","1466.99"
"2000-07-15","Club Brugge","BEL","1592.34"
"2000-07-15","Compostela","ESP","1578.70"
"2000-07-15","Cordoba","ESP","1540.15"
"2000-07-15","Cosenza","ITA","1515.73"
"2000-07-15","Cottbus","GER","1547.35"
"2000-07-15","Coventry","ENG","1635.56"
"2000-07-15","Craiova 1948","ROM","1322.65"
"2000-07-15","Creteil","FRA","1439.34"
"2000-07-15","Crewe","ENG","1426.45"
"2000-07-15","Crotone","ITA","1466.99"
"2000-07-15","Crystal Palace","ENG","1461.20"
"2000-07-15","CSKA Moskva","RUS","1451.46"
"2000-07-15","Denizlispor","TUR","1365.52"
"2000-07-15","Derby","ENG","1636.03"
"2000-07-15","Dinamo Bucuresti","ROM","1559.77"
"2000-07-15","Dortmund","GER","1646.19"
"2000-07-15","Duisburg","GER","1553.58"
"2000-07-15","Dundee","SCO","1387.07"
"2000-07-15","Dundee United","SCO","1339.37"
"2000-07-15","Dunfermline","SCO","1321.87"
"2000-07-15","Dynamo Moskva","RUS","1508.98"
"2000-07-15","Eibar","ESP","1576.33"
"2000-07-15","Ein Frankfurt","GER","1643.06"
"2000-07-15","Elche","ESP","1531.62"
"2000-07-15","Elfsborg","SWE","1433.89"
"2000-07-15","Empoli","ITA","1559.98"
"2000-07-15","Erzurumspor","TUR","1340.97"
"2000-07-15","Espanol","ESP","1785.89"
"2000-07-15","Est Amadora","POR","1472.09"
"2000-07-15","Ethnikos Asteras","GRE","1328.21"
"2000-07-15","Everton","ENG","1685.50"
"2000-07-15","Extremadura","ESP","1604.05"
"2000-07-15","Fakel Voronezh","RUS","1299.19"
"2000-07-15","Farense","POR","1393.12"
"2000-07-15","FC Kobenhavn","DEN","1450.09"
"2000-07-15","FC Koln","GER","1580.98"
"2000-07-15","Fenerbahce","TUR","1558.18"
"2000-07-15","Ferrol","ESP","1470.87"
"2000-07-15","Feyenoord","NED","1663.48"
"2000-07-15","Fiorentina","ITA","1805.00"
"2000-07-15","For Sittard","NED","1486.85"
"2000-07-15","Foresta Suceava","ROM","1136.86"
"2000-07-15","Freiburg","GER","1618.10"
"2000-07-15","Fulham","ENG","1487.33"
"2000-07-15","GAIS","SWE","1337.47"
"2000-07-15","GAK","AUT","1398.71"
"2000-07-15","Galatasaray","TUR","1766.41"
"2000-07-15","Gaz Metan","ROM","1136.86"
"2000-07-15","Gaziantepspor","TUR","1494.91"
"2000-07-15","Genclerbirligi","TUR","1478.22"
"2000-07-15","Genk","BEL","1493.76"
"2000-07-15","Genoa","ITA","1595.12"
"2000-07-15","Gent","BEL","1508.29"
"2000-07-15","Getafe","ESP","1502.74"
"2000-07-15","Giannina","GRE","1243.66"
"2000-07-15","Gil Vicente","POR","1464.45"
"2000-07-15","Gillingham","ENG","1416.38"
"2000-07-15","Goeteborg","SWE","1488.81"
"2000-07-15","Gornik","POL","1388.74"
"2000-07-15","Graafschap","NED","1425.43"
"2000-07-15","Greuther Furth","GER","1512.87"
"2000-07-15","Grimsby","ENG","1415.65"
"2000-07-15","Grodzisk","POL","1348.63"
"2000-07-15","Groningen","NED","1381.15"
"2000-07-15","Gueugnon","FRA","1541.08"
"2000-07-15","Guimaraes","POR","1472.70"
"2000-07-15","Guingamp","FRA","1578.51"
"2000-07-15","Haecken","SWE","1344.58"
"2000-07-15","Haka","FIN","1256.23"
"2000-07-15","Halmstad","SWE","1529.32"
"2000-07-15","Hamburg","GER","1716.30"
"2000-07-15","Hammarby","SWE","1402.50"
"2000-07-15","Hannover","GER","1504.93"
"2000-07-15","Hansa Rostock","GER","1631.68"
"2000-07-15","Harelbeke","BEL","1389.95"
"2000-07-15","Haugesund","NOR","1285.43"
"2000-07-15","Hearts","SCO","1467.25"
"2000-07-15","Heerenveen","NED","1600.77"
"2000-07-15","Helsingborg","SWE","1533.76"
"2000-07-15","Herfolge","DEN","1451.15"
"2000-07-15","Hertha","GER","1663.24"
"2000-07-15","Hibernian","SCO","1370.68"
"2000-07-15","HJK Helsinki","FIN","1328.13"
"2000-07-15","Huddersfield","ENG","1495.81"
"2000-07-15","Inter","ITA","1794.38"
"2000-07-15","Ionikos","GRE","1412.91"
"2000-07-15","Ipswich","ENG","1638.03"
"2000-07-15","Iraklis","GRE","1405.66"
"2000-07-15","Istanbulspor","TUR","1386.25"
"2000-07-15","Jaen","ESP","1470.87"
"2000-07-15","Jokerit","FIN","1289.01"
"2000-07-15","Juventus","ITA","1852.32"
"2000-07-15","Kaiserslautern","GER","1669.80"
"2000-07-15","Kalamata","GRE","1351.57"
"2000-07-15","Katowice","POL","1306.80"
"2000-07-15","Kilmarnock","SCO","1408.69"
"2000-07-15","Kocaelispor","TUR","1384.14"
